userName,score,content,at
Shella weyai,5,bagus,2025-07-31 10:55:55
Adhy Kurniadhy,1,aplikasi elu ganggu banyak muncul di iklan!!!!!!!,2025-07-31 10:51:16
embah rasta,5,mantap,2025-07-31 10:48:11
Yuzie wahyu Wahyu,5,ada kami sangat membantu sekali pada ekonomi saat ini mantaaappp,2025-07-31 10:47:13
Syafiq Nabil Mumtaz,1,aplikasi aneh.. udah dapet limut tp pas peninjauan di tolak.. inget ya hari ini tgl. 31 jui 2025 akun atas nama mega anggraini trlah di tutup.. jika ada hal hal yg meresahkan saya akan lapor ke pihak yg berwajib..!!,2025-07-31 10:38:49
Silvia Nuraini,1,"apk parah sepanjang masa,,saya pernah daftar bertahun"" lalu pke nomer saya yg sudah ntah kemana,,tapi saya gapernah pinjem sedikitpun di apk ini! tiba"" tdi pagi saya di WA ada tagihan dari adakami,tapi masuk ke nomer sy yg baru, pas sya coba masuk ke apk nya gabisa krna data saya ada yg pakai,, katanya aman tapi ko bisa di pake orang,parahhhh,,sudah sya email tapi belum dblas",2025-07-31 10:32:17
Zuckdy Zuckdy,5,mantab bos,2025-07-31 10:30:18
Yogi Prasetio,1,"apk pinjaman dengan bunga paling tinggi, masa biaya layanan 1juta lebih di apk bilang 0,03% ternyata Hoaxs🤬😑",2025-07-31 10:30:13
Nadia Salsa,4,dr kmrn d tolak mlu alhmdulillah d ACC skrng,2025-07-31 10:10:30
Inu Yahsya,1,"kepada pihak adakami, kenapa tiba2 saya ada wa tagihan sebesar 1,9 jta lebih,?? padahal tdk punya tagihan, pengajuan saya aja di tolak terus kok ini malah ada penagihan.",2025-07-31 10:07:27
Jilo Goyang,1,bunga terlalu tinggi,2025-07-31 10:00:00
Aboy Apriansyah,1,"gue ga download adakami, kenapa tiba"" ada tagihan yg ga jelas ? ini gue harus lapor kemana ?",2025-07-31 09:51:47
Nurbiyah Nurbiyah,5,sangat membantu,2025-07-31 09:46:28
Anggiyana Yana,1,"sy g pernh minjem uang di aplikasi adakami knpa sy ditagih trss,, di wa trs suruh byr tagihan,, sy g pernh ngaktifin pinjol sama sekali parahhh,,,, bisa saya laporan ke pihak yg berwajib kalo ky gini ,,,???? jgn nagih sy terus sy g pernh minjam pinjol,,,!!!!",2025-07-31 09:35:45
Jennifer 88 Feel,1,"dodol , sulit pengajuan,iklan aja dimana2, ribet ah",2025-07-31 09:33:09
fah ronie,5,solusi utk keprluan mendadak,2025-07-31 09:27:41
Ilham Iwak,1,ga pernah minjem ada tagihan maksudnya gimana ya????,2025-07-31 09:21:45
Arumsari 1234,5,Amanah dan Aman.Limit Bulanan.OK.Membantu,2025-07-31 09:16:15
Fitri Yani,5,terima kasih,2025-07-31 09:15:09
Dayat Farezza,5,pinjam di ACC,2025-07-31 09:11:04
Dwi sumartini,5,"Alhamdulillah prosesnya 1 bulan, dan Alhamdulillah Bisa dipake. Terimakasih",2025-07-31 09:07:58
Lea Nirwana,5,sangat membantu .ke depannya semoga tambah sukses .Aamin. terima kasih,2025-07-31 09:05:45
Hettysuhaety 90,1,"sngat kcwa d bgian pnagihan ,bnyk no berbeda yg menghubngi tris menerus blom lgi nagihnya tdk sopan ,berkta ksar , memaki ,mengancam ,tnpa ad kta baik dari awal d apk lain sy sring tlat tpi bru dsni sy mengalami hal buruk ..sungguh mengecewakan",2025-07-31 09:02:05
Yuli Kristiono,1,per tanggal 31/07/2025. saya telah unistall aplikasi adakami yg tidak jelas ini.. karena di aplikasi ini tiada penghapusan data.. tolong kalian hapus data saya secara permanen. apabila kalian menyalahgunakan data saya. maka kalian berurusan dengan hukum,2025-07-31 08:59:39
Maestro,1,nawarin giliran butuh susah,2025-07-31 08:55:33
myman ismail,1,gk suka,2025-07-31 08:53:52
Firdaus Firdaus,4,sangat membantu,2025-07-31 08:49:46
Yen M,5,bunga lebih rendah lebih oke,2025-07-31 08:11:52
Mieke Maulani,1,"ini penipuan banget,, yang pas awal perbulan pembayaran 500 tiba2 jadi 900,, gimana inii,, kok jadi giniii,,",2025-07-31 08:05:45
Muhammad Hamidi,5,sangat membatu,2025-07-31 07:54:36
MARNA MARNA,5,"ka tolong hapus data saya klu ada apa"" gak mau tanggung jawab y ka",2025-07-31 07:50:03
Dian alfahri Pahei,5,apk mantap,2025-07-31 07:17:30
Alan Jaelani,5,gampang dan mudah 👍,2025-07-31 06:36:14
dhani taufan,5,sangat mudah,2025-07-31 06:29:14
viona rizky amalia,1,stres bunga ny gd bgt,2025-07-31 06:09:22
hengky 18,1,ribet,2025-07-31 05:26:13
piyong Motor,1,loba teuin iklan,2025-07-31 05:03:02
ip An,3,plikasi ini saya hapus jdi klu ad ygvpinjm brrti bkan sya,2025-07-31 03:41:13
Nur Rahmat,1,udah nunggu nya lama ehh giliran pengajuan langsung di tolak👎👎,2025-07-31 03:30:39
aruelll Xr,1,"bro cukup sampai gua aja yg apes, kalian jangan. gua pinjem 2.180.000 tenor 6 bulan, bungan per bulan itu bukan 0,03% bro tapi 9,61% perbulan. bengkak banget bunganya. saran aja mending yg lain biar idup lo gak nyesel kaya gua",2025-07-31 02:54:01
Samsuri 09,1,"Apliksasi cuma niat ngumpulin data orang saja. Pngajuan pinjaman saya di tolak. Hari ini tanggal 31/07/2025 jam 02.43 saya tidak ada pinjaman di app Ada Kami karna pengajuan tdk di acc. Di aplikasi ini tdk ada menu hps akun,hanya ada menu KELUAR. Jadi kpda pemegang app AdaKami,mohon jgn slh gunakan data diri saya yg tlh masuk untuk hal hal yg tdk saya lakukan.Awas saja kalo di kemudian hari kena tagihan. Dan detik ini juga saya akan Uninstal app AdaKami dari hp saya. Trimakasih untuk penolakanya",2025-07-31 02:50:01
Nur Khasan,5,"Saya Yang bernama Nur Khasan mulai tgl 31-07-2025 Telah Meminta Penutupan akun, mohon di konfirmasi untuk penutupan/penghapusan data akun jngan salah gunakan data saya, sdh hpus aplikasi. Terima Kasih",2025-07-31 01:55:26
sri handayani,1,"IKLANNYA SANGAT MENGGANGGU . SELALU MUNCUL DI PLATFORM LAIN GAK BISA DISKIP . HAPUS AJA APLIKASI KEK GINI BIKIN BANYAK ORANG KEJERAT UTANG . DONGKOL LAMA"" IKLANNYA GANGGU MULU",2025-07-31 01:55:04
F sopian,5,gooddddd,2025-07-31 01:27:05
andrias bayu,1,buruk,2025-07-31 01:02:37
Putu Widya rini,5,sangat membatu,2025-07-31 00:56:52
andri mulyono,1,iklan babi,2025-07-31 00:51:28
Rido New,5,limit yh ga naik2 dari 400 skrg 600rb,2025-07-31 00:44:24
Ros Diana,2,"pinjaman tidak di ACC,tolong data""saya jangan disalah gunakan",2025-07-31 00:43:35
Sebastianus usu,1,padahal sudah isi data giliran mau pinjam di tolak dengan alasan yang gak masuk akal gak usah pake aplikasi ini nanti nyesal,2025-07-31 00:36:54
Saddam Husein,5,cepat dan mudah,2025-07-31 00:31:38
Akun Bersama,1,blm pernah dikasih pinjaman,2025-07-31 00:24:08
Ruth,5,"butuh dana cepat buat biaya operasional usaha toko aku, akhirnya ketemu yang cocok di Adakami ini karena tenor pendek dan bunganya rendah",2025-07-31 00:17:17
Raya lintang Cakrawala,5,butuh dana cepat buat biaya operasional usaha toko aku.akhirnya ketemu yg cocok di Adakami ini karena tenor nya pendek dan bunga nya rendah.,2025-07-31 00:15:53
Ifzii Rahman125,5,Bagus limit sesuai,2025-07-31 00:10:56
Firmansyah Mansyahgabut123,5,adakami adalah pinjaman yang sangat menarik dan bagus untuk di gunakan,2025-07-31 00:09:49
Lang Aja,5,butuh dana cepat? bisa download adakami aja cair nya cepet ga ribet juga truss pengajuan cepet ayo download adamaki,2025-07-31 00:06:47
Jefri Nicol,5,"Untuk bayar biaya kuliah online, saya percayakan AdaKami dan hasilnya puas.",2025-07-31 00:06:10
Lesi Herpalinda,1,aplikasi sangat meresahkan selalu muncul iklan di aplikasi lain sangat mengganggu sekali...,2025-07-30 23:40:08
Aji Rizky Saputra,1,"kemarin² masih dikasih cair, pdhl ga pernah namanya telat bayar. knp sekarang ditolak?!",2025-07-30 22:43:05
umi kulsum,3,"iseng isi data pengen tau dapat limit berapa, taunya 200.000 dan itupun di alihkan ke produk lain, mulai hari ini tanggal 30 Juli 2025 saya sudah uninstall apk ini",2025-07-30 22:38:12
Ola Syi,5,bagus,2025-07-30 21:08:23
Jaenudin,1,limit nya terlalu kecil pinjam pertama,2025-07-30 21:00:31
Arfa Muh arfa (Muh arfa),5,cepat proses ya,2025-07-30 20:33:27
ahmatt huseinn,5,like this,2025-07-30 20:33:26
Amara Kumbang,1,terlalu mahal biaya admin pinjam 3.700.000 biaya admin 1.800.000 belum bayar bunganya,2025-07-30 20:30:20
rere ygy,5,mantap berhasil tarik dana,2025-07-30 20:20:22
Ricky Subagja,1,"di kasi SMS Mulu buat pinjem giliran di instal di tolak Mulu. 2x pengajuan 2x di tolak,",2025-07-30 20:06:21
Yakob Herman,5,proses cepat,2025-07-30 20:04:30
luki Alamsyah,5,"pencairan cepat, sat set sat set",2025-07-30 19:53:45
Sina,1,hati2 ini aplikasi nya biar kita bilang tidak usa di transfer dia transfer jaga saya sudah infokan sama cs nya masih di transfer juga klau saya mau ambil uwang cukup di kapung saya di sini satu juta nya cuma seratus ribu aja kalau ini kaya kita mau di peras ingat yg cuma. 2.500 aja yg sya kembalikan,2025-07-30 19:47:37
Ajid Sajidin,5,mantap,2025-07-30 19:38:25
Ardhy Ardi,5,mantap jiwaa,2025-07-30 19:32:11
Nisa Nis,5,terbaik,2025-07-30 19:30:09
I Gede Mertayasa,5,"Proses peminjaman cepat gak pake ribet, recommended banget... sangat berguna pas lagi butuh uang... Jadi ketagihan minjam dan minjam lagi...",2025-07-30 19:10:41
Agosua Maulana,5,jngan ragu segera unduh pengajuan sangat mudah sekali,2025-07-30 19:03:21
Kris Nadi,5,mantapp bunga ringan,2025-07-30 18:51:19
Evan Ratu,1,"Aplikasi gak berguna beda dengan yang lain pengguna baru di kasih periode lama, aplikasi ini untuk pengguna baru sangat tidak bermanfaat dan tidak menguntungkan.Pelayanan sangat buruk sekali aplikasi ini.",2025-07-30 18:15:53
Lydia Mentari P,5,mantep,2025-07-30 18:15:22
Devy Mamonto,5,adakami sangat membantu,2025-07-30 18:09:01
GM Channel,4,"Sdh 4kali pinjam di apk adakami itu pun sdh lunas semua,Dan ketika sya pengajuan kembali kok Di tolak,Alasanya Knpa..?",2025-07-30 18:02:14
Frm Btj,1,limit muncul sekalinya mengajukan pencairan malah tidak bisa..sekalinya liat limity malah 0,2025-07-30 17:57:17
Hendry Halim,5,"Thakss, VERRY Gooddd",2025-07-30 17:50:22
Muhammad Rizaludin,5,ga ngasih anjir,2025-07-30 17:37:01
Ahmad Anasir,5,sangat membantu,2025-07-30 17:28:38
Dede Rosmawati,5,ok,2025-07-30 17:27:59
Muhammad Irham,5,baik sekali,2025-07-30 17:22:57
Asep R,5,"asal benar data di berikan pinjaman gampang cair dan cicilannya di bayar yah ,aplikasi ok banget , rekomendasi buat yang membutuhkan .",2025-07-30 17:11:30
adi mulya,5,sistem pinjaman cepat,2025-07-30 17:02:35
Ade Saepudin,5,bagus mantap cepat,2025-07-30 16:53:07
ikyy sulaiman,5,bgus,2025-07-30 16:51:21
Meymey Chymey,3,sangat membantu,2025-07-30 16:36:31
prima cipta,5,"smuanya pasti ad proses ,, tpi keren aplikasi ni, supaya memacu ,",2025-07-30 16:24:47
Tatang Setiawan,5,Oke banget 👍👍👍,2025-07-30 16:23:59
Salmin Jafar,5,bagus,2025-07-30 16:22:02
Zaky F,1,saya di adakami pinjam 800 rb. sudah lunas. tidak ada keterlambatan. pas mau ngajuin lagi malah di tolak. aneh. padahal gak pernah telat bayar angsuran. . niat minjam bener malah di tolak aneh,2025-07-30 16:07:56
Warrior JR,5,Bagus,2025-07-30 15:58:47
NbbnfLare Ndeso,5,"Terimakasih Adakami, yang selalu respon dengan baik. pengajuan langsung di setujui dan sem prosesnya lebih cepat. Ini pengajuan yang ke sekian kalinya. semoga prosesnya cepat dan langsung cair.Terima kasih AdaKami. Aplikasi bagus dan sangat cepat dalam pelayanan dan memuaskan. AdaKami sudah sangat membantu sekali keuangan saya. Saya akan selalu bayar tepat waktu. Dan semoga AdaKami sukses selalu dan selau membantu dalam keuangan kami. Semoga limit di naikan. Untuk AdaKami Terima kasih.",2025-07-30 15:52:44
dodo Ardiyanto,1,"jangan mau download aplikasi ini,,,, penagihnya gak ngotak, yg ngatasin juga nutup"" pin gak ada tindak lanjutan mending ke shoppe atau aku laku yg punya etika,,,...disini lu disuruh jual diri!!!! woiii rekrut karyawan yg bener",2025-07-30 15:47:27
Ali Akbar,5,"apikasi bagus,semoga limit saya di naikan",2025-07-30 15:35:50
Aulia Kp,1,"aplikasi ini emang kalau masalah pengajuan sama limit gampang, tapi kalau tagihan telat 1 udah dikejar kejar diancam penyebaran data, diancam lewat media sosial kayak instagram. diteror parah banget",2025-07-30 15:35:11
Ghina Tapai,5,sangat cepat,2025-07-30 15:30:42
Ikam Care,5,kurang puas,2025-07-30 15:27:40
Rifaldi Maulana,3,mudah ga ribet,2025-07-30 15:27:00
Maulidin Mukhlis,5,"APK GAK JELAS, UANG GAK DI KIRIM TPI STATUS PINJAMAN KELUAR, SUDAH KITA BUKTIIN DENGAN REK KORAN, TPI INFONYA LOW RESPON, KLOE NANTI DI TELPHON KE SINI AJA KE RUMAH, GAK BKALAN AKU BAYAR,,,,,,,APLIKASI PENIPUAN",2025-07-30 15:26:25
Rizky Mureza,5,saya sudah mengisi data tapi di tolak asem,2025-07-30 15:15:56
key Gaming,5,👍,2025-07-30 15:12:33
Dona Sar,5,bagus sekali,2025-07-30 15:11:56
gusion topglobal1,1,"tolong data saya dihapus saya baru 1 kali pengajuan langsung tidak lolos,ngerii,saya sudah apus apk pada tanggal 30 juli 2025",2025-07-30 15:10:15
Ardiana Ridav,5,solusi ada disini,2025-07-30 14:59:10
Muhamad Mizwar alfiansyah,1,bunga nya tinggi telat 1 hari aja di terornya kaya apa jgn mau di aplikasi ini,2025-07-30 14:56:33
Silvia Handayani,5,"Daftar mudah dan cepat, aplikasi adakami tampilannya user-friendly, cocok buat semua keperlua",2025-07-30 14:56:32
Silvi Nabu,5,keren👍🙏,2025-07-30 14:41:35
Ridwan Nur Cahyo,1,scam👎,2025-07-30 14:32:53
Usrox Trans,5,sangat membantu,2025-07-30 14:32:04
Afdul Diyo H,3,"sangat tidak di sarankan untuk meminjam di aplikasi ini bahkan tidak ada tenggang untuk keterlambatan sehari saja tidak bisa dan selalu mengganggu dan mengancam memakai data pribadi kita, saran saya pinjam di tempat lain aja kalau tidak di aplikasi shopee kalian sendiri. terima kasih 🙏🏻",2025-07-30 14:31:01
Khalif Ma'aruf santoso Ma'aruf santoso,5,"mantap ini apk nya ,aku kira bakal GK cair tuh uang",2025-07-30 14:21:47
Sikin Sofi,5,bagus bgt,2025-07-30 14:21:44
Hasriwahyuni 94,1,"udah hampir puluhan kali ngajuin di aplikasi ini, nggak pernh di setujui. di tolak mulu, entah persyaratan apa yang kurang.nyessel bangett download apk.nya",2025-07-30 14:16:18
Abdul Zabar,1,"malah di tolak , ok lah , saya berharap jangan salah gunakan data saya",2025-07-30 14:14:38
Viran Viran,5,"limitnya naik trus,tapi KLO ngajuin gbisa ,suru tgl sgini,tgl sgtu ,giliran ngajuin gbisa 🫠",2025-07-30 14:09:42
User Mobile,1,pinjaman ada potongan,2025-07-30 13:55:26
Batam Kepri,5,cepat dan nggak ribet..terimakasi..🙏🙏,2025-07-30 13:52:00
Toni prayogi Toni,5,bisa jadi alternatif buat keperluan mendadak.,2025-07-30 13:47:17
yoyong sopyan,5,Good aplication,2025-07-30 13:44:47
Agus Perianto,5,sangat membantu di saat darurat,2025-07-30 13:42:03
Dheny Wu,1,Iklanmu gak ada tombol silang,2025-07-30 13:40:52
mean cuplis,1,gak banget,2025-07-30 13:38:46
OKKY ARIF KHARISMA,5,Alhamdulillah,2025-07-30 13:30:53
pur woko,5,bener2 aplikasi yg menolong..ini sy serius Demi Allah..sy baru mengajukan langsung di setujui pinjaman 10 jt..dan langsung cair..bener2 penolong saat di butuhkan..terima kasih banyak..,2025-07-30 13:23:45
Muhammad Fajri,4,mantap,2025-07-30 13:20:28
Mustika Rahayu,5,cepat dan murah,2025-07-30 13:16:47
Fathian Khalifah,4,mantap proses mudah,2025-07-30 13:09:47
Rampok Berseragam coklat,1,saya pengajuan slalu ditolak tp pas mau daftar ulang katana KTP saya suda terpakai degn mo2281 ini maksud gmn,2025-07-30 13:03:28
Asep Najmudin,5,adakami sangat membantu dan bisa diandalkan,2025-07-30 12:34:15
Ziyana Hendro,5,apk ini rekom sekali untuk kita yg butuh dana mendadak cepat dan mudah sukaa deh,2025-07-30 12:29:40
Rizal Epandy,5,mantap,2025-07-30 12:24:02
Bian Lanang02,5,mantap,2025-07-30 11:58:53
Andy Irawan,5,sangat membantu sekali,2025-07-30 11:51:33
Engkoy Rokayah,1,"hari ini tanggal 30 Juni 2025 saya mengajukan pinjaman diaplikasi adakami,limit saya mencapai 1jt dan langsung saya ajukan pinjaman,pinjaman saya disetujui, langsung tanda tangan elektronik,tetapi setelah saya tanda tangan elektronik, status pinjaman malah ditolak dengan alasan kredit score kurang,oleh karna itu,jika ada orang menagih dengan bersangkutan Kepada saya,saya tidak akan pernah membayarnya karna saya tidak menerima uangnya sepeser pun. dan di hari ini juga saya hpus data dan aplikasi.",2025-07-30 11:47:56
Adam Jebat,5,baik,2025-07-30 11:30:08
Adi Wardana,5,sangat membantu,2025-07-30 11:19:44
Thomas Menna,5,Proses cepat makasih bmayak sdah memberikan bantuan pinjaman,2025-07-30 11:08:10
Lala N H,1,sagat menganggu kebayakan iklan,2025-07-30 11:02:09
Diki Wahyudi,4,"berulang kali di tolak, tapi coba lagi di acc",2025-07-30 10:57:49
Ragil sri Wancono,1,Bunga besar,2025-07-30 10:34:22
Delvi Silaen,1,"anjir banget jangan pernah download aplikasi ini, bikin emosi aja ngiklan dimana2 capek saya skip apalagi org lg nonton drama aplikasi ini muncul melululu bikin emosi",2025-07-30 10:24:23
Widi Aja,5,mundah dan mantap,2025-07-30 10:18:18
Buday 031,5,terimakasih,2025-07-30 10:15:54
dengan kita,1,jangan di pakai pelanyanan tidak ramah,2025-07-30 10:07:06
Imron Efendi,1,saya gak ada pinjaman ko di tagih,2025-07-30 10:05:58
Wawan Harianto,5,mantap sngat luar biasa,2025-07-30 09:57:53
Bosih Cibitung,1,hoak aplikasi ga guna jangan mau download cuma mau curi data doang,2025-07-30 09:55:52
Hendri Pratama,5,mntap,2025-07-30 09:20:13
Ubes Bersahaja,5,bagus dan sangat membantu sekali,2025-07-30 09:06:10
Suer Koprai,5,sangat cepat aksrsnya,2025-07-30 09:06:02
mukhlasin icha,5,ya ok lah,2025-07-30 08:53:15
Stefan Alford,5,"Aplikasi AdaKami benar-benar membantu dalam situasi darurat keuangan. Proses pendaftarannya sangat mudah dan cepat, bahkan verifikasi hanya memakan waktu singkat. Antarmukanya juga user-friendly, jadi gampang digunakan oleh siapa pun, bahkan bagi pengguna baru.",2025-07-30 08:44:42
Siti Fatimah,1,Jagan pernah download aplikasi ini,2025-07-30 08:32:33
Rozi Irawan,5,baik,2025-07-30 08:30:23
Rista Dhae,5,baik,2025-07-30 08:27:41
aldi Yanssah03,1,apk buruk,2025-07-30 08:26:34
Avivah Nurfitriyani,2,"kok ga sesuai ya, pas sebelum dicairkan tertera yang harus di bayar sebesar 166rb, tapi pas sudah dicairkan kenapa yang harus dibayar sebesar 260rb? sangat mengecewakan sekali bunganya terlalu besar",2025-07-30 08:24:15
moh ilham,5,sangat cepat dan dipercaya,2025-07-30 08:12:15
Marty Letsoin,5,Mantap..... 👍👍👍👍👍,2025-07-30 08:10:56
Ahmad W (?),1,"aplikasi pencuri data saja,,saya di tolak pinjem setelah susah susah pinjem 200 ,awas aja kalau disalah gunakan data saya atau ada penagihan itu bukan saya...saya udah screenshoot dan sbg.",2025-07-30 08:04:56
Rina Setiawati,5,alhmdulilah proses cepat dan tidak ada potongan admin,2025-07-30 08:00:18
Murni Srikandi,5,semoga bisa membantu yg membutuhkan,2025-07-30 07:43:14
Putriyani Yani,1,gimana sih ini aplikasi saya udah ngajuin 3x tapi tetep gagal padahal buat modal usaha kalo liat iklan nya kaya nya gampang banget tapi pas udah daftar di tolak terus gimana ini,2025-07-30 07:30:34
Cahya Rihansyah,5,good,2025-07-30 07:20:06
S h s Saja,1,aplikasi php,2025-07-30 05:50:15
Aldi Ganteng,5,good,2025-07-30 05:37:46
Mukhlis Barlian,3,"jatuh tempo per tanggal 30, saya bayar tepat waktu tp udah kena denda, aplikasi rentenir",2025-07-30 05:16:16
Alfa Rizi,5,aplikasi pinjam uang,2025-07-30 04:56:45
Muhamad Yahya,5,Mantap,2025-07-30 04:42:10
Fuji Maru,1,ko kredit nya ga cukup padahal pertama kali loh jangan sampai ada keslah gunakan informasi saya . saya udah Hapus aplikasinya,2025-07-30 04:36:24
fikri khair islami,1,BODOH BODOH,2025-07-30 03:35:12
Ramdan Sidik Sidik,5,"Adapundi sangat membantu saya saat membutuhkan dana tambahan untuk keperluan mendesak. Proses pengajuan pinjaman sangat sederhana dan tidak memakan waktu lama.Semua informasi mengenai bunga,tenor,dan biaya lainnya disampaikan dengan jelas di aplikasi sehingga saya bisa mengatur pembayaran dengan baik.Customer service Adapundi juga sangat responsif dan siap membantu kapan saja. Saya sangat merekomendasikan aplikasi ini kepada siapa saja yang membutuhkan pinjaman online yang cepat dan terpercaya.",2025-07-30 03:06:29
ope keroncong,5,dana rupiah paling mantap pinjam cepat dan bunga sangat ringan untuk mahasiswa di tanggal tua,2025-07-30 02:39:10
ara zhr,5,sangat membantu dan cepat cair nya god job adakami,2025-07-30 01:30:50
fajar ramaserang,5,dana rupiah paling aman dan cepat dalam proses pengajuan di aplikasi bunga dana rupiahnya rendah,2025-07-30 01:27:22
Muhammad Khairi,5,terbaik,2025-07-30 01:25:23
Taek 77,5,icash oke,2025-07-30 01:17:55
Miell Miell,5,oky,2025-07-30 01:07:35
Indra Andrian,5,ok,2025-07-30 01:03:29
